Year,Geography,Selection Filter,Selection Value,Max. % Total Population,Max. Sub-Population,Max. Total Population
2011,Washington State,All,All,100,6773171.98,
2011,Yakima,All,All,100,244632.25,
2011,Whitman,All,All,100,44414.34,
2011,Whatcom,All,All,100,201996.58,
2011,Walla Walla,All,All,100,58802.11,
2011,Wahkiakum,All,All,100,4023.9,
2011,Thurston,All,All,100,254485.33,
2011,Stevens,All,All,100,43656.81,
2011,Spokane,All,All,100,474319.58,
2011,Snohomish,All,All,100,716774.77,
2011,Skamania,All,All,100,11091.71,
2011,Skagit,All,All,100,117311.98,
2011,San Juan,All,All,100,15948.6,
2011,Pierce,All,All,100,804147.18,
2011,Pend Oreille,All,All,100,12958.4,
2011,Pacific,All,All,100,21046.01,
2011,Okanogan,All,All,100,41106.43,
2011,Mason,All,All,100,61111,61111
2011,Lincoln,All,All,100,10583.14,
2011,Lewis,All,All,100,76191.66,
2011,Klickitat,All,All,100,20502.48,
2011,Kittitas,All,All,100,41146.95,
2011,Kitsap,All,All,100,254286.83,
2011,King,All,All,100,1943608.44,
2011,Jefferson,All,All,100,30130.31,
2011,Island,All,All,100,78944.46,
2011,Grays Harbor,All,All,100,72991.58,
2011,Grant,All,All,100,90012.63,
2011,Garfield,All,All,100,2263.55,
2011,Franklin,All,All,100,80473.1,
2011,Ferry,All,All,100,7528.04,
2011,Douglas,All,All,100,38571.56,
2011,Cowlitz,All,All,100,102725.44,
2011,Columbia,All,All,100,4075.97,
2011,Clark,All,All,100,428427.47,
2011,Clallam,All,All,100,71636.86,
2011,Chelan,All,All,100,72652.11,
2011,Benton,All,All,100,178003.73,
2011,Asotin,All,All,100,21615.9,
2011,Adams,All,All,100,18972.78,
2011,Washington State,Sex,Male,49.9,3376480.77,
2011,Yakima,Sex,Male,49.96495352,122230.39,
2011,Whitman,Sex,Male,50.63961324,22491.25,
2011,Whatcom,Sex,Male,49.56073019,100110.98,
2011,Walla Walla,Sex,Male,50.84928075,29900.45,
2011,Wahkiakum,Sex,Male,50.39663013,2027.91,
2011,Thurston,Sex,Male,48.79813701,124184.1,
2011,Stevens,Sex,Male,50.01632048,21835.53,
2011,Spokane,Sex,Male,49.43650228,234487.01,
2011,Snohomish,Sex,Male,50.11223261,359191.84,
2011,Skamania,Sex,Male,50.28936025,5577.95,
2011,Skagit,Sex,Male,49.61256301,58201.48,
2011,San Juan,Sex,Male,48.64226327,7757.76,
2011,Pierce,Sex,Male,49.48141956,397903.44,
2011,Pend Oreille,Sex,Male,50.71042721,6571.26,
2011,Pacific,Sex,Male,50.06782758,10537.28,
2011,Okanogan,Sex,Male,50.4627135,20743.42,
2011,Mason,Sex,Male,51.76455957,31633.84,61111
2011,Lincoln,Sex,Male,50.04894578,5296.75,
2011,Lewis,Sex,Male,50.03211638,38120.3,
2011,Klickitat,Sex,Male,50.60319532,10374.91,
2011,Kittitas,Sex,Male,50.6501697,20841,
2011,Kitsap,Sex,Male,50.61975093,128719.36,
2011,King,Sex,Male,49.87185279,969313.54,
2011,Jefferson,Sex,Male,49.49398131,14912.69,
2011,Island,Sex,Male,49.592777,39150.75,
2011,Grays Harbor,Sex,Male,51.20412519,37374.7,
2011,Grant,Sex,Male,50.96808081,45877.71,
2011,Garfield,Sex,Male,49.39144265,1118,
2011,Franklin,Sex,Male,51.69780958,41602.83,
2011,Ferry,Sex,Male,51.72010244,3893.51,
2011,Douglas,Sex,Male,50.02462955,19295.28,
2011,Cowlitz,Sex,Male,49.38180844,50727.68,
2011,Columbia,Sex,Male,49.58721482,2021.16,
2011,Clark,Sex,Male,49.40396796,211660.17,
2011,Clallam,Sex,Male,49.56674539,35508.06,
2011,Chelan,Sex,Male,49.92095894,36268.63,
2011,Benton,Sex,Male,49.95576778,88923.13,
2011,Asotin,Sex,Male,48.322161,10445.27,
2011,Adams,Sex,Male,50.8595472,9649.47,
2011,Washington State,Sex,Female,50.1,3396691.2,
2011,Yakima,Sex,Female,50.03504648,122401.86,
2011,Whitman,Sex,Female,49.36038676,21923.09,
2011,Whatcom,Sex,Female,50.43926981,101885.6,
2011,Walla Walla,Sex,Female,49.15073626,28901.67,
2011,Wahkiakum,Sex,Female,49.60336987,1995.99,
2011,Thurston,Sex,Female,51.20186299,130301.23,
2011,Stevens,Sex,Female,49.98370243,21821.29,
2011,Spokane,Sex,Female,50.56349772,239832.57,
2011,Snohomish,Sex,Female,49.88776739,357582.93,
2011,Skamania,Sex,Female,49.71072991,5513.77,
2011,Skagit,Sex,Female,50.38743699,59110.5,
2011,San Juan,Sex,Female,51.35767403,8190.83,
2011,Pierce,Sex,Female,50.51858044,406243.74,
2011,Pend Oreille,Sex,Female,49.28949562,6387.13,
2011,Pacific,Sex,Female,49.93217242,10508.73,
2011,Okanogan,Sex,Female,49.53731083,20363.02,
2011,Mason,Sex,Female,48.23544043,29477.16,61111
2011,Lincoln,Sex,Female,49.95105422,5286.39,
2011,Lewis,Sex,Female,49.96788362,38071.36,
2011,Klickitat,Sex,Female,49.39680468,10127.57,
2011,Kittitas,Sex,Female,49.34985461,20305.96,
2011,Kitsap,Sex,Female,49.38024907,125567.47,
2011,King,Sex,Female,50.12814721,974294.9,
2011,Jefferson,Sex,Female,50.5059855,15217.61,
2011,Island,Sex,Female,50.407223,39793.71,
2011,Grays Harbor,Sex,Female,48.79587481,35616.88,
2011,Grant,Sex,Female,49.0319303,44134.93,
2011,Garfield,Sex,Female,50.60855735,1145.55,
2011,Franklin,Sex,Female,48.30219042,38870.27,
2011,Ferry,Sex,Female,48.27989756,3634.53,
2011,Douglas,Sex,Female,49.97537045,19276.28,
2011,Cowlitz,Sex,Female,50.61819156,51997.76,
2011,Columbia,Sex,Female,50.41278518,2054.81,
2011,Clark,Sex,Female,50.59603204,216767.3,
2011,Clallam,Sex,Female,50.43325461,36128.8,
2011,Chelan,Sex,Female,50.07904106,36383.48,
2011,Benton,Sex,Female,50.04423784,89080.61,
2011,Asotin,Sex,Female,51.677839,11170.63,
2011,Adams,Sex,Female,49.1404528,9323.31,
2011,Washington State,Age,65+,12.54563582,849737.49,
2011,Yakima,Age,65+,11.77359077,28802,
2011,Whitman,Age,65+,9.057254932,4022.72,
2011,Whatcom,Age,65+,13.45913876,27187,
2011,Walla Walla,Age,65+,15.09280874,8874.89,
2011,Wahkiakum,Age,65+,26.08290464,1049.55,
2011,Thurston,Age,65+,13.27661598,33787.04,
2011,Stevens,Age,65+,17.4540925,7619.9,
2011,Spokane,Age,65+,13.08750737,62076.61,
2011,Snohomish,Age,65+,10.4233733,74712.11,
2011,Skamania,Age,65+,14.5889137,1618.16,
2011,Skagit,Age,65+,16.46786628,19318.78,
2011,San Juan,Age,65+,24.5830982,3920.66,
2011,Pierce,Age,65+,11.16030028,89745.24,
2011,Pend Oreille,Age,65+,19.78562168,2563.9,
2011,Pacific,Age,65+,25.50065309,5366.87,
2011,Okanogan,Age,65+,17.52066526,7202.12,
2011,Mason,Age,65+,18.77265959,11472.16,61111
2011,Lincoln,Age,65+,21.26438845,2250.44,
2011,Lewis,Age,65+,17.6637443,13458.3,
2011,Klickitat,Age,65+,18.16087615,3723.43,
2011,Kittitas,Age,65+,12.77149339,5255.08,
2011,Kitsap,Age,65+,13.55715906,34474.07,
2011,King,Age,65+,11.25672412,218786.64,
2011,Jefferson,Age,65+,27.36028936,8243.74,
2011,Island,Age,65+,18.73634958,14791.31,
2011,Grays Harbor,Age,65+,16.73557416,12215.56,
2011,Grant,Age,65+,11.85375874,10669.88,
2011,Garfield,Age,65+,22.9047293,518.46,
2011,Franklin,Age,65+,7.322794822,5892.88,
2011,Ferry,Age,65+,19.28695916,1451.93,
2011,Douglas,Age,65+,14.21010714,5481.06,
2011,Cowlitz,Age,65+,15.67440354,16101.6,
2011,Columbia,Age,65+,23.09290795,941.26,
2011,Clark,Age,65+,11.63532534,49848.93,
2011,Clallam,Age,65+,24.74544529,17726.86,
2011,Chelan,Age,65+,15.57925847,11318.66,
2011,Benton,Age,65+,11.86224019,21115.23,
2011,Asotin,Age,65+,19.4441129,4203.02,
2011,Adams,Age,65+,10.16951654,1929.44,
2011,Washington State,Age,45-64,27.24409576,1845289.46,
2011,Yakima,Age,45-64,22.81020184,55801.11,
2011,Whitman,Age,45-64,16.60105723,7373.25,
2011,Whatcom,Age,45-64,26.42173942,53371.01,
2011,Walla Walla,Age,45-64,25.51217975,15001.7,
2011,Wahkiakum,Age,45-64,33.74810507,1357.99,
2011,Thurston,Age,45-64,28.21770119,71809.91,
2011,Stevens,Age,45-64,32.79921277,14319.09,
2011,Spokane,Age,45-64,27.10622235,128570.12,
2011,Snohomish,Age,45-64,28.26578145,202601.99,
2011,Skamania,Age,45-64,34.51649926,3828.47,
2011,Skagit,Age,45-64,27.74980015,32553.84,
2011,San Juan,Age,45-64,37.33054939,5953.7,
2011,Pierce,Age,45-64,26.64153221,214237.13,
2011,Pend Oreille,Age,45-64,34.67704346,4493.59,
2011,Pacific,Age,45-64,32.50102989,6840.17,
2011,Okanogan,Age,45-64,30.4073353,12499.37,
2011,Mason,Age,45-64,30.68463943,18751.69,61111
2011,Lincoln,Age,45-64,32.25366007,3413.45,
2011,Lewis,Age,45-64,28.46063467,21684.63,
2011,Klickitat,Age,45-64,32.53303991,6670.08,
2011,Kittitas,Age,45-64,23.79342819,9790.27,
2011,Kitsap,Age,45-64,29.49779192,75009,
2011,King,Age,45-64,27.23706684,529381.93,
2011,Jefferson,Age,45-64,35.9870841,10843.02,
2011,Island,Age,45-64,29.16536512,23024.44,
2011,Grays Harbor,Age,45-64,29.73753959,21705.9,
2011,Grant,Age,45-64,22.56102283,20307.77,
2011,Garfield,Age,45-64,33.05957456,748.32,
2011,Franklin,Age,45-64,19.00451207,15293.52,
2011,Ferry,Age,45-64,34.48507181,2596.05,
2011,Douglas,Age,45-64,26.02277429,10037.39,
2011,Cowlitz,Age,45-64,28.47338498,29249.41,
2011,Columbia,Age,45-64,32.45313386,1322.78,
2011,Clark,Age,45-64,27.01745992,115750.22,
2011,Clallam,Age,45-64,30.28646147,21696.27,
2011,Chelan,Age,45-64,27.98302761,20330.26,
2011,Benton,Age,45-64,26.47188348,47120.94,
2011,Asotin,Age,45-64,29.20239268,6312.36,
2011,Adams,Age,45-64,19.17120211,3637.31,
2011,Washington State,Age,25-44,27.37954293,1854463.53,
2011,Yakima,Age,25-44,25.51020154,62406.18,
2011,Whitman,Age,25-44,19.87779172,8828.59,
2011,Whatcom,Age,25-44,25.35829072,51222.88,
2011,Walla Walla,Age,25-44,23.71093486,13942.53,
2011,Wahkiakum,Age,25-44,17.2357663,693.55,
2011,Thurston,Age,25-44,26.76931908,68123.99,
2011,Stevens,Age,25-44,19.36392054,8453.67,
2011,Spokane,Age,25-44,25.53366656,121111.18,
2011,Snohomish,Age,25-44,28.47334038,204089.72,
2011,Skamania,Age,25-44,22.61427679,2508.31,
2011,Skagit,Age,25-44,24.00768447,28163.89,
2011,San Juan,Age,25-44,17.82996627,2843.63,
2011,Pierce,Age,25-44,27.88447259,224232.2,
2011,Pend Oreille,Age,25-44,18.3281115,2375.03,
2011,Pacific,Age,25-44,18.10480942,3810.34,
2011,Okanogan,Age,25-44,21.50269435,8838.99,
2011,Mason,Age,25-44,22.8238615,13947.89,61111
2011,Lincoln,Age,25-44,17.96924164,1901.71,
2011,Lewis,Age,25-44,22.62116352,17235.44,
2011,Klickitat,Age,25-44,21.33078535,4373.34,
2011,Kittitas,Age,25-44,21.64925954,8908.01,
2011,Kitsap,Age,25-44,24.77489691,62999.3,
2011,King,Age,25-44,31.36017973,609519.1,
2011,Jefferson,Age,25-44,16.82047081,5068.06,
2011,Island,Age,25-44,22.65965211,17888.54,
2011,Grays Harbor,Age,25-44,23.48533899,17142.32,
2011,Grant,Age,25-44,25.23932475,22718.58,
2011,Garfield,Age,25-44,18.59512712,420.91,
2011,Franklin,Age,25-44,29.54617133,23776.72,
2011,Ferry,Age,25-44,18.31114075,1378.47,
2011,Douglas,Age,25-44,24.29448018,9370.76,
2011,Cowlitz,Age,25-44,23.58766241,24230.53,
2011,Columbia,Age,25-44,18.9682456,773.14,
2011,Clark,Age,25-44,26.78318223,114746.51,
2011,Clallam,Age,25-44,19.76693283,14160.41,
2011,Chelan,Age,25-44,23.27472664,16909.58,
